Comparison,OccNet chamfer-L1,OccNet chamfer-L2,OccNet normal consistency,OccNet f-scores,DeepSDF chamfer,VIoU,Dice
27,0.0041,0.0001,0.9681,0.9885,0.0002,0.9559,0.9775
28,0.0042,0.0001,0.9697,0.9864,0.0002,0.9477,0.9731
29,0.0036,0.0000,0.9701,0.9993,0.0000,0.9596,0.9794
30,0.0037,0.0000,0.9685,0.9920,0.0001,0.9608,0.9800
31,0.0037,0.0000,0.9696,0.9956,0.0001,0.9642,0.9818
32,0.0035,0.0000,0.9719,0.9943,0.0001,0.9591,0.9791
33,0.0039,0.0000,0.9618,0.9908,0.0001,0.9522,0.9755
34,0.0037,0.0000,0.9609,0.9884,0.0001,0.9597,0.9794
35,0.0045,0.0003,0.9666,0.9898,0.0007,0.9519,0.9754
36,0.0038,0.0000,0.9704,0.9917,0.0001,0.9582,0.9787
37,0.0039,0.0000,0.9724,0.9979,0.0000,0.9576,0.9783
38,0.0037,0.0000,0.9699,0.9983,0.0000,0.9561,0.9776
39,0.0040,0.0001,0.9645,0.9885,0.0002,0.9579,0.9785
40,0.0036,0.0000,0.9683,0.9982,0.0001,0.9608,0.9800
41,0.0043,0.0002,0.9713,0.9931,0.0004,0.9505,0.9746
42,0.0037,0.0000,0.9674,0.9950,0.0000,0.9570,0.9780
43,0.0062,0.0010,0.9679,0.9893,0.0020,0.9652,0.9823
44,0.0038,0.0001,0.9693,0.9937,0.0001,0.9601,0.9796
45,0.0033,0.0000,0.9711,0.9979,0.0000,0.9629,0.9811
46,0.0038,0.0000,0.9626,0.9928,0.0001,0.9410,0.9696
47,0.0039,0.0001,0.9688,0.9965,0.0002,0.9537,0.9763
48,0.0035,0.0000,0.9710,0.9964,0.0001,0.9623,0.9808
49,0.0033,0.0001,0.9689,0.9964,0.0001,0.9644,0.9819
50,0.0036,0.0000,0.9697,0.9962,0.0000,0.9627,0.9810
51,0.0041,0.0001,0.9713,0.9930,0.0002,0.9529,0.9759
52,0.0038,0.0000,0.9673,0.9946,0.0000,0.9582,0.9787
53,0.0039,0.0000,0.9684,0.9901,0.0001,0.9458,0.9721
54,0.0044,0.0001,0.9688,0.9984,0.0003,0.9505,0.9746
55,0.0040,0.0001,0.9687,0.9941,0.0003,0.9614,0.9803
56,0.0037,0.0000,0.9704,0.9987,0.0000,0.9603,0.9797
57,0.0037,0.0001,0.9710,0.9986,0.0001,0.9659,0.9827
58,0.0038,0.0000,0.9676,0.9954,0.0001,0.9615,0.9804
59,0.0033,0.0000,0.9738,0.9989,0.0000,0.9613,0.9803
60,0.0032,0.0001,0.9703,0.9982,0.0001,0.9694,0.9845
61,0.0043,0.0003,0.9662,0.9932,0.0006,0.9607,0.9799
