Comparison,OccNet chamfer-L1,OccNet chamfer-L2,OccNet normal consistency,OccNet f-scores,DeepSDF chamfer,VIoU,Dice
26,0.0225,0.0040,0.8786,0.8201,0.0081,0.9017,0.9483
27,0.0318,0.0071,0.8633,0.7621,0.0142,0.8944,0.9443
28,0.0175,0.0032,0.8885,0.8694,0.0064,0.9107,0.9533
29,0.0232,0.0034,0.8661,0.7880,0.0068,0.8995,0.9471
30,0.0228,0.0037,0.8718,0.8029,0.0074,0.9049,0.9501
31,0.0277,0.0049,0.8621,0.7628,0.0099,0.8999,0.9473
32,0.0253,0.0047,0.8766,0.7953,0.0093,0.8804,0.9364
33,0.0275,0.0058,0.8741,0.7993,0.0117,0.8915,0.9426
34,0.0265,0.0053,0.8461,0.7832,0.0106,0.8854,0.9392
35,0.0262,0.0065,0.8844,0.8218,0.0130,0.8775,0.9347
36,0.0273,0.0047,0.8672,0.7721,0.0095,0.8861,0.9396
37,0.0320,0.0060,0.8574,0.7326,0.0120,0.8895,0.9415
38,0.0302,0.0065,0.8693,0.7803,0.0130,0.8727,0.9320
39,0.0230,0.0037,0.8763,0.7951,0.0073,0.8880,0.9407
40,0.0317,0.0070,0.8744,0.7773,0.0140,0.8951,0.9446
41,0.0249,0.0047,0.8792,0.7824,0.0095,0.8520,0.9201
42,0.0206,0.0031,0.8625,0.8052,0.0062,0.9012,0.9480
43,0.0324,0.0066,0.8682,0.7377,0.0133,0.8677,0.9292
44,0.0393,0.0122,0.8885,0.7680,0.0243,0.8952,0.9447
45,0.0294,0.0061,0.8704,0.7755,0.0122,0.8961,0.9452
46,0.0230,0.0052,0.8982,0.8443,0.0104,0.8884,0.9409
47,0.0245,0.0044,0.8783,0.8096,0.0089,0.8924,0.9431
48,0.0274,0.0049,0.8583,0.7589,0.0099,0.8964,0.9454
49,0.0255,0.0059,0.8863,0.8379,0.0118,0.9174,0.9569
50,0.0271,0.0056,0.8825,0.8096,0.0113,0.9032,0.9491
51,0.0251,0.0040,0.8708,0.7736,0.0080,0.8661,0.9282
52,0.0325,0.0066,0.8497,0.7307,0.0132,0.8659,0.9281
53,0.0175,0.0028,0.8966,0.8670,0.0056,0.9138,0.9549
54,0.0198,0.0031,0.8865,0.8252,0.0061,0.9087,0.9521
55,0.0261,0.0057,0.8793,0.8165,0.0113,0.9151,0.9557
